58f63861cd4d7405950000ca	FACEBOOK KILLER DEAD : So-called Facebook Killer Steve Stephens who killed a man in Cleveland on Sunday sparking a five-state manhunt has killed himself2017-04-18T12:01:27-04:00	http://www.foxnews.com/	FoxNews.com		['so-called' 'stranger' 'pennsylvania' 'five-state manhunt' 'erie pa' 'facebook' 'man' 'killer steve stephens' 'facebook killer dead' 'easter sunday' 'cleveland' 'steve stephens']	Steve Stephens the Cleveland man who gunned down a stranger on Easter Sunday sparking a five-state manhunt killed himself after being stopped by police in Erie Pa. according to Pennsylvania State Police.
5888baefcd4d742c5f00001d	MARKET MILESTONE: Dow hits 20K for the first time	2017-01-25T09:48:56-05:00	http://www.foxnews.com/	FoxNews.com		['dow jones' 'record intraday high' 'investor confidence' '20000' '2017' '20k' 'soars' 'market milestone dow']	Dow Jones soars above 20000 a record intraday high signaling investor confidence for 2017.
5888fa68cd4d745609000004	WATCH LIVE: Trump to speak after signing executive orders on immigration	2017-01-25T14:20:01-05:00	http://video.foxnews.com/v/2553565094001/#sp=watch-live	FoxNews.com		['border wall' 'immigration' 'dept' 'security' 'trump' 'sanctuary cities' 'executive orders' 'us-mexico' 'watch live trump' 'homeland']	of Homeland Security after signing executive orders to build the US-Mexico border wall and cut funding to sanctuary cities.
588901bdcd4d745609000008	COMIC LEGEND LOST: Mary Tyler Moore dead at 80	2017-01-25T14:50:56-05:00	http://www.foxnews.com/	FoxNews.com		['comic legend lost mary tyler moore' '80' 'star' 'mary tyler moore' 'age' 'news confirms' 'dick van dyke show' 'mary tyler moore show']	Mary Tyler Moore star of ‘The Mary Tyler Moore Show’ and ‘The Dick Van Dyke Show’ has died at the age of 80 Fox News confirms.
5889153acd4d745609000016	RECORD CLOSE: Dow ends the day above 20K	2017-01-25T16:14:24-05:00	http://www.foxnews.com/	FoxNews.com		['broad investor confidence' 'milestone' 'average' 'dow jones' 'ends' '20000' 'record close dow' '20k' 'closes']	Dow Jones Industrial Average closes above 20000 for the first time a milestone signaling broad investor confidence.
58893945cd4d745bea000002	FOUND ALIVE: Woman reported missing found alive walking along California freeway	2017-01-25T18:48:01-05:00	http://www.foxnews.com/us/2017/01/25/woman-reported-missing-found-walking-along-california-freeway.html	FoxNews.com		['60' 'home officials say' 'miles' 'california' 'freeway' 'woman' '28-year-old' 'found alive woman' 'weekend' 'laura lynne stacy']	Laura Lynne Stacy a 28-year-old California woman who was reported missing over the weekend is found alive walking alongside a freeway nearly 60 miles from her home officials say.
588a2cb8cd4d74643500000d	BREAKING NEWS:: Mexican president cancels meeting with Trump	2017-01-26T12:06:58-05:00	http://www.foxnews.com/	FoxNews.com		['mexican president' 'enrique pena nieto' 'meeting' 'trump' 'tensions' 'border wall' 'mexican president cancels meeting']	Mexican President Enrique Peña Nieto tweeted that he canceled a planned meeting with President Trump next week following tensions over the building of the border wall.
588ab49ccd4d740b82000001	'HANNITY' EXCLUSIVE: President Trump sits down with Sean Hannity at 10 PM ET on Fox News Channel	2017-01-26T21:46:27-05:00	http://video.foxnews.com/v/1241186546001/#sp=watch-live	FoxNews.com		['10' 'trump' 'exclusive' 'exclusive cable interview' 'sits' 'news channel' 'hannity' 'donald trump' 'pm et' 'sean hannity' 'channel']	'HANNITY' EXCLUSIVE: President Trump sits down with Sean Hannity at 10 PM ET on Fox News Channel
588ac414cd4d740b82000002	'HANNITY' EXCLUSIVE: Trump defends order for visa crackdown refugee halt	2017-01-26T22:52:48-05:00	http://www.foxnews.com/politics/2017/01/27/trump-defends-order-for-visa-crackdown-refugee-halt-cant-take-chances.html	FoxNews.com		['fox news’ sean hannity' '120' 'visas' 'exclusive trump' 'refugee program' 'countries' 'visa crackdown refugee' 'donald trump' 'order' 'hannity' 'seven' 'forthcoming executive orders' 'muslim' 'citizens']	President Donald Trump defended his forthcoming executive orders suspending the United States' refugee program for 120 days and halting the issuing of visas to citizens of seven predominantly Muslim countries telling Fox News’ Sean Hannity 'HANNITY' EXCLUSIVE: Trump defends order for visa crackdown refugee halt
588bc214cd4d740b82000016	TAKING ACTION: President Trump signs executive orders for 'extreme vetting' of refugees and rebuilding the military	2017-01-27T16:56:20-05:00	http://www.foxnews.com/	FoxNews.com		['extreme vetting' 'trump' 'taking action' 'signs executive orders' 'executive orders' 'military' 'refugees']	President Trump on Friday signed executive orders for 'extreme vetting' of refugees and rebuilding America's military.
588c177ecd4d74365f000009	BREAKING NEWS: Actor John Hurt dead at 77	2017-01-27T23:00:55-05:00	http://www.foxnews.com/	FoxNews.com		['john hurt' 'roles' 'breaking news actor john' '77' 'harry' 'pancreatic cancer' 'doctor' 'death unknown' 'potter' 'immediate']	John Hurt known for roles in “Harry Potter” and “Doctor Who” was reportedly battling pancreatic cancer.
588d4e59cd4d746bb5000001	RELEASED: Two refugees who were detained at JFK under Trump's new policy have been freed 10 remain in custody	2017-01-28T21:07:01-05:00	http://www.foxnews.com/us/2017/01/28/12-refugees-detained-under-ban-after-trumps-order-one-released-as-protests-grow.html	FoxNews.com		['haider sameer abdulkhaleq alshawi' 'iraqi' 'new policy' 'freed' 'refugees' 'jfk' 'men' 'custody' 'new immigration orders' 'released' '10' trump's 'hameed jhalid darweesh']RELEASED: Two refugees who were detained at JFK under Trump's new policy have been freed 10 remain in custody
588d528ccd4d746bb5000002	BREAKING NEWS: Federal judge grants emergency stay to allow detainees with valid visas to remain in the U.S.	2017-01-28T21:24:55-05:00	http://www.foxnews.com/us/2017/01/28/12-refugees-detained-under-ban-after-trumps-order-one-released-as-protests-grow.html	FoxNews.com		['emergency' 'union' 'national immigration law center' 'liberties' 'federal judge grants emergency stay' 'victory' 'federal judge' 'valid visas' 'detainees' 'u.s.' 'america']	The National Immigration Law Center and the American Civil Liberties Union are declaring victory tonight after a federal judge granted an emergency nationwide stay to temporarily allow those currently detained who have valid visas to remain in America.
588ddfc2cd4d746bb500000e	CHAMPION AGAIN: Roger Federer beats Rafael Nadal to win Australian Open	2017-01-29T07:27:15-05:00	http://www.foxnews.com/	FoxNews.com		['18' 'beats' 'record' 'slam' 'open' 'defeats' 'champion again roger federer' 'singles titles' 'rafael nadal' 'australian' 'roger federer']	Roger Federer defeats Rafael Nadal in the Australian Open final and extends his record for most Grand Slam singles titles to 18.
